# Akram-ut-Tarajum — Urdu OCR ground-truth corpus
# Source: https://www.naqshbandiaowaisiah.org/quran
# Format: surah:ayah<TAB>Urdu
001:001	شروع اللہ کے نام سے جو بڑے مہربان نہایت رحم کرنے والے ہیں -
004:167	یقیناً جن لوگوں نے کفر اختیار کیا اور اللہ کی راہ سے روکا تو بے شک وہ دور کی گمراہی میں جا پڑے۔
004:168	بلا شبہ جو لوگ کافر ہوئے اور ظلم کیا (دوسروں کو بھی گمراہ کیا)اللہ ان (لوگوں)کو کبھی نہ بخشیں گے اور نہ ان کو کوئی راہ دکھائیں گے۔
004:169	سوائے جہنم کے راستے کے جس میں یہ ہمیشہ ہمیشہ رہیں گے اور یہ اللہ پر آسان ہے۔
004:170	اے لوگو! یقیناً تمہارے پاس تمہارے پروردگار کی طرف سے حق کے ساتھ پیغمبر آئے سو تم ایمان لے آؤ یہ تمہارے لئے بہت اچھا ہے اور اگر تم کفر کرو گے تو یقیناً جو کچھ آسمانوںاور زمین میں ہے سب اللہ کا ہے۔ اور اللہ جاننے والے حکمت والے ہیں۔
004:171	اے اہل کتاب! اپنے دین (کے بارے )میں حد سے نہ بڑھو اور اللہ کے بارے میں حق کے سوا کچھ نہ کہو یقیناً مسیح عیسیٰ (علیہ السلام)مریم(علیہا السلام)کے بیٹے اللہ کے پیغمبر ہیں اور اس کا کلمہ (حکم)ہیں جو اس نے مریم (علیہا السلام)کی طرف بھیجا تھا اور اس (اللہ) کی طرف سے ایک روح ہیں سو اللہ اور اس کے پیغمبروں پر ایمان لاؤ اور یہ نہ کہو کہ (اللہ)تین ہیں بازآجاؤ(یہ)تمہارے لئے بہتر ہے ۔ سوائے اس کے نہیں کہ اللہ اکیلا عبادت کا مستحق ہے وہ اس سے پاک ہے کہ اس کے اولاد ہو۔ جو کچھ آسمانوں میں ہے اور جو کچھ زمین میں ہے سب اس کا ہے ۔اوراللہ کارساز کافی ہے۔
004:172	اور مسیح (علیہ السلام) اللہ کا بندہ ہونے سے ہرگز کوئی عار نہیں رکھتے اور نہ مقرب فرشتے اور جو شخص اس کی بندگی سے عار کرے اور تکبر کرے تو وہ (اللہ)عنقریب ان سب کو اپنے پاس جمع کریں گے۔
004:173	پس جو لوگ ایمان لائے اوراچھے کام کیے تو ان کو ان کا پورا پورا بدلہ ملے گا اور وہ (اللہ)اپنے فضل سے ان کو زیادہ دے گا اور جن لوگوں نے عار (انکار)کیا اور تکبر کیا سو ان کو وہ (اللہ)دردناک عذاب دے گا۔اور وہ اپنے لئے اللہ کے علاوہ کوئی دوست اور مددگار نہ پائیں گے۔
004:174	اے لوگو! یقیناً تمہارے پاس تمہارے پروردگار کی طرف سے روشن دلیل آچکی اور ہم نے تمہارے پاس ایک چمکتا ہوا نور بھیجا ہے۔
004:175	پس جو لوگ اللہ کے ساتھ ایمان لائے اور اس (دین)کو مضبوطی سے تھامے رکھا تو وہ (اللہ)عنقریب ان کو اپنی رحمت اور فضل میں داخل فرمائیں گے اور ان کو اپنی طرف سیدھا راستہ دکھائیں گے۔
004:176	آپ سے حکم دریافت کرتے ہیں۔ فرما دیجئے کہ اللہ تم کو کلالہ (بغیر ماں باپ اور اولاد کے)کے بارے حکم دیتے ہیں کہ اگر ایسا بندہ مرجائے جس کے اولاد نہ ہو (نہ ماں باپ)اور اس کی ایک بہن ہو تو جو کچھ اس نے چھوڑا اس کا نصف اس کے لئے ہے اور وہ شخص اس کا (اپنی بہن کا)وارث ہوگا اگر اس کے اولاد نہ ہو (نہ ماں باپ)پس اگر دو بہنیں ہوں (یا زیادہ)تو وہ اس کے ترکہ میں سے دوتہائی لیں گی اور اگر زیادہ وارث ہوں مرداور خواتین تو مرد کو دو عورتوں کے برابر حصہ ملے گا اللہ تمہارے لئے (دین کو)بیان فرماتے ہیں کہ گمراہی میں نہ پڑو اور اللہ ہر چیز کے جاننے والے ہیں۔
005:001	اے ایمان والو! (اپنے)عہدوں کو پورا کرو تمہارے لئے چرنے والے جانور حلال کردیئے گئے ہیں سوائے ان کے جن کا تم سے ذکر کیا گیا مگر احرام (حج)میں شکار کو حلال نہ جاننا بے شک اللہ جیسا چاہتے ہیں حکم دیتے ہیں
005:002	اے ایمان والو! اللہ کی نشانیوں کی بے حرمتی نہ کرو اور نہ حرمت والے مہینے کی اور نہ قربانی کے جانوروں کی اور نہ ان جانوروں کی جن کے گلے میں پٹہ دیا گیا ہو اور نہ ان لوگوں کی جو بیت الحرام کے ارادے سے جارہے ہوں(اور) اپنے رب کے فضل اور رضامندی کے طالب ہوں اور جب تم حلال ہوجاؤ (احرام سے باہر آجاؤ) تو شکار کرو اور لوگوں کی دشمنی کہ انہوں نے تمہیں مسجد حرام سے روک دیا تھا تمہارے لئے حد سے نکل جانے کا سبب نہ بنے اور نیکی اور پرہیزگاری میں اعانت کرو اور گناہ اور حد سے گزرنے میں مدد نہ کرو اور اللہ سے ڈرو بلا شبہ اللہ سخت عذاب دینے والے ہیں۔
005:003	حرام کیا گیا تم پر مردار اور خون اور خنزیر کا گوشت اور جس پر بوقت ذبح اللہ کے سوا کسی کا نام لیا گیا ہو اور جو گلا گھٹنے سے مرا ہو اور جو ضرب لگنے سے مرجائے اور جو گر کر مرجائے اور جو ٹکر لگنے سے مر جائے اور جسے درندہ کھا گیا ہو سوائے اس کے کہ جس کو تم ذبح کرلو اور جو پرستش گاہوں پر ذبح کیے جائیں اور یہ کہ قرعہ کے تیروں کے ذریعے تقسیم کرو یہ سب گناہ ہیں آج کے دن کافر تمہارے دین سے ناامید ہوگئے پس ان سے مت ڈرو اور مجھ سے ڈرو۔آج کے دن میں نے تمہارے لئے تمہارا دین مکمل کردیا اور تم پر اپنی نعمت تمام کردی اور اسلام کو تمہارا دین پسند فرمالیا سو جو شخص بھوک سے بے تاب ہوجائے کسی گناہ کی طرف اس کا رجحان نہ ہو تو یقیناً اللہ بخشنے والے مہربان ہیں۔
005:004	آپ سے پوچھتے ہیں کہ ان کے لئے کون سی چیزیں حلال کی گئی ہیں فرمادیجئے کہ تمہارے لئے پاکیزہ چیزیں حلال کی گئی ہیں اور جو تمہارے سکھلائے ہوئے شکاری جانوروں نے پکڑا ہو تو جس طرح اللہ نے تم کو سکھایا ہے (شکار کرنا)اس طرح تم نے ان کو سکھایا ہو۔ جس شکار کو وہ تمہارے واسطے پکڑ رکھیں پس وہ کھاؤ اور اس پر (بوقت ذبح) اللہ کا نام لو اوراللہ سے ڈرتے رہو یقیناً اللہ بہت جلدی حساب لینے والے ہیں۔
005:005	آج کے دن تم پر پاکیزہ چیزیں حلال کردی گئیں اور اہل کتاب کا کھانا بھی تم کو حلال ہے اور تمہارا کھانا ان کو حلال ہے اور پاک دامن مومن عورتیں اور پاک دامن عورتیں ان میں سے جن کو تم سے پہلے کتاب دی گئی جب تم ان کوان کے مہر ادا کردو تم ان کو بیوی بناؤ صرف شہوت رانی مقصود نہ ہو اور نہ خفیہ آشنائی ہو اور جو شخص ایمان سے منکر ہوا تو یقیناً اس کا (سارا)عمل ضائع ہوجائے گا اور وہ آخرت میں نقصان پانے والوں میں ہوگا۔
005:006	اے ایمان والو! جب تم نماز کا قصد کرو تو اپنے چہروں کو دھوؤ اور اپنے ہاتھوں کوکہنیوں تک دھو لیا کرو اوراپنے سروں پر ہاتھ پھیرو (مسح کرو)اور ٹخنوں تک اپنے پاؤں(دھولیا کرو)اور اگر تم حالت جنب (ناپاکی)میں ہو تو نہالو (خود کو پاک کرلو)اور اگر تم بیمار ہو یا حالت سفر میں ہو یا تم میں سے کوئی بیت الخلاء سے ہو کر آئے یا بیویوں سے قربت کی ہو پھر تمہیں پانی نہ مل سکے تو تم پاک مٹی سے تیمم (کرلیا)کرو اس سے اپنے چہروں پر ہاتھ پھیر لو اور اپنے ہاتھوں پر (مسح کرلو)اللہ تم پر کوئی تنگی ڈالنا نہیں چاہتے ولیکن وہ تمہیں پاک کرنا چاہتے ہیں اور یہ کہ تم پر اپنی نعمت پوری کریں تاکہ تم شکرادا کرو۔
005:007	اور اللہ نے جو تم پر انعام فرمایا ہے اسے یاد کرو اور اس عہد کو بھی جس کا تم سے وعدہ لیا ہے جب تم نے کہا کہ ہم نے سن لیا اور ہم نے مان لیا اور اللہ سے ڈرو بے شک اللہ دلوں کی باتوں سے واقف ہیں۔
005:008	اے ایمان والو! اللہ کے لئے انصاف کے ساتھ گواہی دینے پر قائم رہنے والے بنو اور لوگوں کی دشمنی تمہیں انصاف چھوڑنے پر آمادہ نہ کردے انصاف کرو کہ یہ نیکی کے زیادہ قریب ہے اور اللہ سے ڈروکہ بے شک اللہ تمہارے تمام اعمال سے باخبر ہیں۔
005:009	جو لوگ ایمان لائے اور نیک کام کرتے رہے ان سے اللہ نے وعدہ فرمایا ہے کہ ان کے لئے بخشش ہے اور بہت بڑا اجر(بدلہ)ہے۔
005:010	اور جو لوگ کافر ہوئے اور ہماری نشانیوں کو جھٹلایا یہی لوگ دوزخ کے رہنے والے ہیں۔
005:011	اے ایمان والو! اللہ نے تم پر جو انعام کیا اسے یاد کرو جب ایک جماعت نے ارادہ کیا کہ تم پر دست درازی کریں تو (اسی نے)تم سے ان کے ہاتھ روک دیئے اور اللہ سے ڈرو اور اہل ایمان کو اللہ ہی پر بھروسہ کرنا چاہیے۔
005:012	اور اللہ نے بنی اسرائیل سے عہد لیا اور ہم نے ان میں بارہ سردار مقرر فرمائے اور اللہ نے فرمایا اگر تم نمازکی پابندی کرتے رہواور زکوٰۃ ادا کرتے رہو اور میرے پیغمبروں کے ساتھ ایمان لاتے رہو اور ان کی مدد کرتے رہو تو یقیناً میں تمہارے ساتھ ہوں اور اگر اللہ کو اچھے طور پر قرض دیتے رہو گے تو میں ضرور تمہارے سارے گناہ معاف کردوں گا اور تمہیں بہشتوں میں داخل کروں گا ان کے تابع نہریں چلتی ہیں سو اس کے بعد جس نے تم میں سے کفر کیا تو یقیناً وہ سیدھے راستے سے بھٹک گیا۔
005:013	پس ان کے عہد توڑنے کی وجہ سے ہم نے ان پر لعنت کی اور ان کے دلوں کو سخت کردیا وہ لوگ کلام کواس کے مواقع سے بدل ڈالتے ہیں اور ان کو جو نصیحت کی گئی تھی اس میں سے ایک (بڑا) حصہ فراموش کر بیٹھے اور آپ ان میں تھوڑے لوگوں کے علاوہ ان کی خیانت کی خبر پاتے رہتے ہیں پس ان کو معاف کریں اور (ان سے)درگز کریں یقیناً اللہ احسان کرنے والوں کو دوست رکھتے ہیں۔
005:014	اور جو لوگ کہتے ہیں کہ ہم نصاریٰ ہیں ہم نے ان سے بھی عہد لیا تھا سو وہ بھی جو ان کو نصیحت کی گئی تھی اس میں سے ایک (بڑا)حصہ فراموش کو بیٹھے تو ہم نے ان میں قیامت کے دن تک کے لئے باہم بغض اور عداوت ڈال دی اور عنقریب اللہ ان کو ان کے اعمال سے آگاہ فرمائیں گے۔
005:015	اے اہل کتاب ! یقیناً تمہارے پاس ہمارے رسول آئے ہیں کتاب میں سے جو (باتیں)تم چھپاتے تھے ان میں سے بہت سی باتیں تم پر کھول کر بیان فرمادیتے ہیں اور بہت سی درگزر فرماتے ہیں یقیناً تمہارے پاس اللہ کی طرف سے نور اور روشن کتاب آچکی ہے۔
005:016	اس کے ذریعے اللہ ایسے لوگوں کو جو اس کی رضامندی کے طالب ہوں، سلامتی کی راہیں دکھاتے ہیں اور ان کواپنے حکم سے تاریکیوں سے روشنی کی طرف لے آتے ہیں اور ان کوسیدھے راستے پر چلاتے ہیں۔
